scenario,sim_time,day_time,job_id,source,event_type,technician,station,remaining_time,outcome,wait_time,turnaround_time,service_time,generated_at
base run,1215.5,Day 50 - Tuesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,58.085835934984345,,,,,2026-07-16T19:34:27.108097
base run,1239.5,Day 51 - Wednesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,49.585835934984345,,,,,2026-07-16T19:34:27.108097
base run,1263.5,Day 52 - Thursday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,41.085835934984345,,,,,2026-07-16T19:34:27.108097
base run,1287.5,Day 53 - Friday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,32.585835934984345,,,,,2026-07-16T19:34:27.108097
base run,1359.5,Day 56 - Monday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,24.085835934984345,,,,,2026-07-16T19:34:27.108097
base run,1383.5,Day 57 - Tuesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,15.585835934984345,,,,,2026-07-16T19:34:27.108097
base run,1407.5,Day 58 - Wednesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,7.085835934984345,,,,,2026-07-16T19:34:27.108097
base run,1430.0858359349843,Day 59 - Thursday 14:05,RMA-7,Customer RMA,finished,Tech 1,Station 2,0,scrap,0.0,1198.8753911796211,297.6333333333333,2026-07-16T19:34:27.108097
base run,1430.0858359349843,Day 59 - Thursday 14:05,ADVEX-5,Advance Exchange,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,1431.5,Day 59 - Thursday 15:30,ADVEX-5,Advance Exchange,paused,Tech 2,Station 2,9.735835934984289,,,,,2026-07-16T19:34:27.108097
base run,1455.5,Day 60 - Friday 15:30,ADVEX-5,Advance Exchange,paused,Tech 2,Station 2,1.235835934984289,,,,,2026-07-16T19:34:27.108097
base run,1520.2358359349844,Day 63 - Monday 08:14,ADVEX-5,Advance Exchange,finished,Tech 2,Station 2,0,repaired,1183.0858359349843,1273.2358359349844,11.15,2026-07-16T19:34:27.108097
base run,1520.2358359349844,Day 63 - Monday 08:14,RMA-8,Customer RMA,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,1527.5,Day 63 - Monday 15:30,RMA-8,Customer RMA,paused,Tech 2,Station 2,2.13583593498438,,,,,2026-07-16T19:34:27.108097
base run,1545.1358359349845,Day 64 - Tuesday 09:08,RMA-8,Customer RMA,finished,Tech 2,Station 2,0,repaired,1273.2358359349844,1298.1358359349845,9.4,2026-07-16T19:34:27.108097
base run,1545.1358359349845,Day 64 - Tuesday 09:08,RMA-9,Customer RMA,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,1551.5,Day 64 - Tuesday 15:30,RMA-9,Customer RMA,paused,Tech 2,Station 2,3.0525026016511365,,,,,2026-07-16T19:34:27.108097
base run,1570.0525026016512,Day 65 - Wednesday 10:03,RMA-9,Customer RMA,finished,Tech 2,Station 2,0,repaired,1296.4652949259723,1321.381961592639,9.416666666666666,2026-07-16T19:34:27.108097
base run,1570.0525026016512,Day 65 - Wednesday 10:03,PROD-8,Production Failure,started,Tech 2,Station 2,,,,,,2026-07-16T19:34:27.108097
base run,1570.5525026016512,Day 65 - Wednesday 10:33,PROD-8,Production Failure,finished,Tech 2,Station 2,0,rtv,1299.0525026016512,1299.5525026016512,0.5,2026-07-16T19:34:27.108097
base run,1570.5525026016512,Day 65 - Wednesday 10:33,RESHIP-5,Reship,started,Tech 2,Station 1,,,,,,2026-07-16T19:34:27.108097
base run,1572.08947293206,Day 65 - Wednesday 12:05,RESHIP-5,Reship,finished,Tech 2,Station 1,0,reshipped,1227.5525026016512,1229.08947293206,1.5369703304087952,2026-07-16T19:34:27.108097
